code,name,population
01000,北海道,"5,381,733"
02000,青森県,"1,308,265"
03000,岩手県,"1,279,594"
04000,宮城県,"2,333,899"
05000,秋田県,"1,023,119"
06000,山形県,"1,123,891"
07000,福島県,"1,914,039"
08000,茨城県,"2,916,976"
09000,栃木県,"1,974,255"
10000,群馬県,"1,973,115"
11000,埼玉県,"7,266,534"
12000,千葉県,"6,222,666"
13000,東京都,"13,515,271"
14000,神奈川県,"9,126,214"
15000,新潟県,"2,304,264"
16000,富山県,"1,066,328"
17000,石川県,"1,154,008"
18000,福井県,"786,740"
19000,山梨県,"834,930"
20000,長野県,"2,098,804"
21000,岐阜県,"2,031,903"
22000,静岡県,"3,700,305"
23000,愛知県,"7,483,128"
24000,三重県,"1,815,865"
25000,滋賀県,"1,412,916"
26000,京都府,"2,610,353"
27000,大阪府,"8,839,469"
28000,兵庫県,"5,534,800"
29000,奈良県,"1,364,316"
30000,和歌山県,"963,579"
31000,鳥取県,"573,441"
32000,島根県,"694,352"
33000,岡山県,"1,921,525"
34000,広島県,"2,843,990"
35000,山口県,"1,404,729"
36000,徳島県,"755,733"
37000,香川県,"976,263"
38000,愛媛県,"1,385,262"
39000,高知県,"728,276"
40000,福岡県,"5,101,556"
41000,佐賀県,"832,832"
42000,長崎県,"1,377,187"
43000,熊本県,"1,786,170"
44000,大分県,"1,166,338"
45000,宮崎県,"1,104,069"
46000,鹿児島県,"1,648,177"
47000,沖縄県,"1,433,566"
01100,北海道 札幌市,"1,952,356"
01101,北海道 札幌市 中央区,"237,627"
01102,北海道 札幌市 北区,"285,321"
01103,北海道 札幌市 東区,"261,912"
01104,北海道 札幌市 白石区,"209,584"
01105,北海道 札幌市 豊平区,"218,652"
01106,北海道 札幌市 南区,"141,190"
01107,北海道 札幌市 西区,"213,578"
01108,北海道 札幌市 厚別区,"127,767"
01109,北海道 札幌市 手稲区,"140,999"
01110,北海道 札幌市 清田区,"115,726"
01202,北海道 函館市,"265,979"
01203,北海道 小樽市,"121,924"
01204,北海道 旭川市,"339,605"
01205,北海道 室蘭市,"88,564"
01206,北海道 釧路市,"174,742"
01207,北海道 帯広市,"169,327"
01208,北海道 北見市,"121,226"
01209,北海道 夕張市,"8,843"
01210,北海道 岩見沢市,"84,499"
01211,北海道 網走市,"39,077"
01212,北海道 留萌市,"22,221"
01213,北海道 苫小牧市,"172,737"
01214,北海道 稚内市,"36,380"
01215,北海道 美唄市,"23,035"
01216,北海道 芦別市,"14,676"
01217,北海道 江別市,"120,636"
01218,北海道 赤平市,"11,105"
01219,北海道 紋別市,"23,109"
01220,北海道 士別市,"19,914"
01221,北海道 名寄市,"29,048"
01222,北海道 三笠市,"9,076"
01223,北海道 根室市,"26,917"
01224,北海道 千歳市,"95,648"
01225,北海道 滝川市,"41,192"
01226,北海道 砂川市,"17,694"
01227,北海道 歌志内市,"3,585"
01228,北海道 深川市,"21,909"
01229,北海道 富良野市,"22,936"
01230,北海道 登別市,"49,625"
01231,北海道 恵庭市,"69,702"
01233,北海道 伊達市,"34,995"
01234,北海道 北広島市,"59,064"
01235,北海道 石狩市,"57,436"
01236,北海道 北斗市,"46,390"
01303,北海道 当別町,"17,278"
01304,北海道 新篠津村,"3,329"
01331,北海道 松前町,"7,337"
01332,北海道 福島町,"4,422"
01333,北海道 知内町,"4,653"
01334,北海道 木古内町,"4,547"
01337,北海道 七飯町,"28,120"
01343,北海道 鹿部町,"4,226"
01345,北海道 森町,"15,946"
01346,北海道 八雲町,"17,252"
01347,北海道 長万部町,"5,926"
01361,北海道 江差町,"8,248"
01362,北海道 上ノ国町,"4,876"
01363,北海道 厚沢部町,"4,049"
01364,北海道 乙部町,"3,906"
01367,北海道 奥尻町,"2,690"
01370,北海道 今金町,"5,628"
01371,北海道 せたな町,"8,473"
01391,北海道 島牧村,"1,499"
01392,北海道 寿都町,"3,137"
01393,北海道 黒松内町,"3,082"
01394,北海道 蘭越町,"4,843"
01395,北海道 ニセコ町,"4,958"
01396,北海道 真狩村,"2,103"
01397,北海道 留寿都村,"1,907"
01398,北海道 喜茂別町,"2,294"
01399,北海道 京極町,"3,187"
01400,北海道 倶知安町,"15,018"
01401,北海道 共和町,"6,224"
01402,北海道 岩内町,"13,042"
01403,北海道 泊村,"1,771"
01404,北海道 神恵内村,"1,004"
01405,北海道 積丹町,"2,115"
01406,北海道 古平町,"3,188"
01407,北海道 仁木町,"3,498"
01408,北海道 余市町,"19,607"
01409,北海道 赤井川村,"1,121"
01423,北海道 南幌町,"7,927"
01424,北海道 奈井江町,"5,674"
01425,北海道 上砂川町,"3,479"
01427,北海道 由仁町,"5,314"
01428,北海道 長沼町,"11,076"
01429,北海道 栗山町,"12,344"
01430,北海道 月形町,"4,577"
01431,北海道 浦臼町,"1,985"
01432,北海道 新十津川町,"6,831"
01433,北海道 妹背牛町,"3,091"
01434,北海道 秩父別町,"2,513"
01436,北海道 雨竜町,"2,749"
01437,北海道 北竜町,"1,981"
01438,北海道 沼田町,"3,181"
01452,北海道 鷹栖町,"7,018"
01453,北海道 東神楽町,"10,233"
01454,北海道 当麻町,"6,689"
01455,北海道 比布町,"3,777"
01456,北海道 愛別町,"2,976"
01457,北海道 上川町,"4,044"
01458,北海道 東川町,"8,111"
01459,北海道 美瑛町,"10,292"
01460,北海道 上富良野町,"10,826"
01461,北海道 中富良野町,"5,069"
01462,北海道 南富良野町,"2,555"
01463,北海道 占冠村,"1,211"
01464,北海道 和寒町,"3,596"
